Image,QC,Comment
Case_001,fail,
Case_010,fail,
Case_103,fail,
Case_104,fail,
Case_105,pass,
Case_106,pass,
Case_107,pass,
Case_108,pass,
Case_110,pass,
Case_111,pass,
Case_112,fail,orbits?
Case_113,fail,
Case_114,fail,
Case_115,fail,
Case_116,fail,
Case_117,fail,
Case_119,fail,
Case_120,fail,
Case_122,fail,
Case_123,pass,
Case_124,fail,
Case_127,fail maybe - orbits,
Case_128,fail,
Case_129,fail,
Case_013,fail,
Case_130,pass,
Case_132,fail,
Case_133,pass,
Case_135,fail,
Case_136,pass,
Case_137,fail,
Case_014,pass,
Case_140,pass,
Case_143,fail,weird anonimization? Defaced?
Case_146,fail,
Case_015,fail,
Case_150,fail,
Case_018,fail,
Case_002,fail,
Case_020,fail,
Case_021,fail,
Case_022,pass,
Case_023,fail,36 min here.
Case_024,pass,
Case_025,fail,
Case_027,pass,
Case_028,fail,there are many catastrophic fails; these are quick to QCâ€¦
Case_029,fail,
Case_030,fail,
Case_032,fail,
Case_033,fail,there are many catastrophic fails; these are quick to QCâ€¦
Case_034,pass,borderline
Case_035,pass,
Case_036,pass,
Case_038,fail,
Case_039,fail,
Case_004,pass,
Case_043,fail,
Case_045,pass,
Case_046,fail,
Case_047,fail,
Case_048,fail,
Case_005,fail,
Case_054,fail,
Case_055,fail,
Case_056,fail,
Case_058,pass,
Case_059,fail,
Case_006,fail,
Case_060,fail,
Case_065,fail,
Case_067,pass,borderline
Case_068,fail,
Case_069,fail,
Case_007,fail,
Case_070,fail,borderline
Case_071,fail,
Case_073,fail,
Case_074,pass,last one completed in 60 minutes.
Case_075,,
Case_077,,
Case_079,,
Case_080,,
Case_082,,
Case_084,,
Case_085,,
Case_087,,
Case_088,,
Case_089,,
Case_009,,
Case_090,,
Case_092,,
Case_093,,
Case_094,,
Case_095,,
Case_098,,
Case_099,,
